0	"

CONSANTLY being
bombarded by so-called FREE money-making systems that teases you with limited
information, and when its all said and done, blind-sides you by demanding your
money/credit card information upfront in some slick way, after-the-fact!
Yes, I too was as skeptical about such offers and the Internet in general with
all its hype, as you probably are. Fortunate for me, my main business
slowed-down (I have been self-employed all my life), so I looked for
something to fit my lifestyle and some other way to assist me in paying my
bills, without working myself to death or loosing more money; then, this
proposal to try something new without any upfront investment (great! because
I had none) interested me to click on the link provided. And I dont regret
at all that I did! I am very happy, and happy enough to recommend it to you as
a system that is true to its word. I mean absolutely no upfront money. You join
only if (when) you make money. You also get to track the results of your
time and efforts instantly and updated daily! I especially liked this idea of
personal control with real-time, staying informed statistics.
This system is quite simply
the most logical, opened, and fair of any others that Ive seen before. Why?
Because from the start, you get all the specific facts you need to seriously
consider if this is right for you. No teasing. No grand testimonies! No
kidding! Just the facts! Unlike in other programs that give you no idea of
their overall plan before first forking over your money/credit card; or worst
yet, joining and finding-out too late, after wasting valuable time trying to
figure them out, this system is straightforward and informative, providing you
with the two things you really must know: Whats it all about? and How
does it work?. These are the ultimate deal makers or deal breakers that
need to be immediately disclosed, well before discovering that maybe you dont
want to do that; by then you are hooked and now locked into a frustrating
battle to try to get your money back! 
I call this my Platinum
Choice because it stands alone as a true, superior deal that is totally
different from previously misleading, hook-first programs that promise lofty
mega-money jackpots, but really just want your money upfront to line their own
pockets! Youve seen the headlines: Join free and Make $10,000 every week
for life yeah, right!
I did not make millions yet,
but the whole thing was launched just a few weeks ago and I am more than happy
with my earnings, so far. I must tell you, I wouldnt be able to do anything
without corporate help  which was unusually thorough, timely, and motivating. 
You have to see this in action
for yourself and make up your own mind; just go to my site and fill out the
form as soon as you can. You will get your own site in a few minutes. Then you
are ready to try whether you can make some decent money with this system and
the Internets explosive potential - fully loaded with hi-tech software, free
corporate help, on-time members support and even protective safeguards! 
Get it now, and you can call me
at any time with questions. It really could help you like it is helping me to
finally be able to pay my bills, and keep my free time free. Good luck!
http://www.mindupmerchants.com/default.asp?ID=5581
Ben Green, (775) 322-3323 
P.S.Free POP3 email is ofered for members now!

"
0	"link to my webcam you wanted Wanna see sexually curious teens playing with each other?

http://www.site-personals.com <-- click here=)

me and my horny girlfriends are waiting for you... we are probably eating each other out on webcam in our dormitory as ur reading this! (inbetween classes of course *wink*)

see you soon baby,
-Veronica






















mcmfkhcpedgetqj

"
1	"Re: How to manage multiple Internet connections?From nobody Sun Mar 19 18:11:39 2017
Content-Type: text/plain; charset=us-ascii
Content-Disposition: inline
Content-Transfer-Encoding: quoted-printable

On Sat,15.May.10, 16:47:07, Merciadri Luca wrote:
> >
> > But will probably not work in you case, as it was meant to combine two=
=20
> > (or more?) network ports from the same computer connected to the same=
=20
> > switch.
> >  =20
> The description says
>=20
> =3D=3D
> The Linux bonding driver provides a method for aggregating
> multiple network interfaces into a single logical
> bonded  interface.
> =3D=3D
>=20
> Strictly speaking, this is what I want. Now, your interpretation seems
> to be based on the definition of a link aggregation, which I am not
> really familiar with. Basically, I want to merge connections into one,
> or at least divide and use them separately, in an easy way. This is not
> a so-rare situation, is it? E.g. you might be wandering in some zone
> where you can use the WiFi, but where it is sometimes unavailable, say
> at specific regions. If you manage to use another connection, for
> example the one that is given by your mobile phone/smartphone /via/
> Bluetooth (which is then connected to the internet through other
> protocols), it should be possible to switch between these two
> connections, or to use them simultaneously, if, say, WiFi 's range is
> too small or WiFi's bandwidth too small compared to the smartphone's
> one. (Okay, this is not a really realistic example.)
>=20
> You might also share an internet connection with your neighbour,
> legally, and use it a lot when he does not need it. Then, if you already
> use ethernet, you can use both connections. But how?

Bonding is not suitable for you because it works too low-level (it is=20
layer 2), unless you have two links from the same provider, using some=20
technology that can be bonded (like ADSL).

AFAIU what you need is BGP[1], but I can't give you any tips as this is=20
way out of my league ;)

Probably a good start (whatever technology you end up using) is a=20
GNU/Linux (preferably Debian) machine connected to both internet links=20
and your internal network since consumer gateways don't even have more=20
than one WAN port[2].

[1] http://en.wikipedia.org/wiki/Border_Gateway_Protocol
[2] some of them could be used for this with custom firmware, but this=20
is off-topic

Regards,
Andrei
P.S. There is no need to CC me as I am subscribed to the list ;)
--=20
Offtopic discussions among Debian users and developers:
http://lists.alioth.debian.org/mailman/listinfo/d-community-offtopic
"
0	"[SPAM]  Give her 3 hour rodeoEnhance your desire, pleasure and performance! 100% GUARANTEED TO SEE AN 
INCREASE IN SIZE AND WIDTH http://pg.exqumloaf.com/


"
0	"Best Price on the netf5f8m1 (suddenlysusan@Stoolmail.zzn.com) on Tuesday, July 30, 2002 at 17:07:56
: Why Spend upwards of $4000 on a DVD Burner when we will show you an alternative that will do the exact same thing for just a fraction of the cost? Copy your DVD's NOW. Best Price on the net. Click here: http://002@www.dvdcopyxp.com/cgi-bin/enter.cgi?marketing_id=dcx009 Click to remove http://003@www.spambites.com/cgi-bin/enter.cgi?spambytes_id=100115 


"
1	"linux.ie mailing list memberships reminderThis is a reminder, sent out once a month, about your linux.ie mailing
list memberships.  It includes your subscription info and how to use
it to change it or unsubscribe from a list.

You can visit the URLs to change your membership status or
configuration, including unsubscribing, setting digest-style delivery
or disabling delivery altogether (e.g., for a vacation), and so on.

In addition to the URL interfaces, you can also use email to make such
changes.  For more info, send a message to the '-request' address of
the list (for example, webdev-request@linux.ie) containing just the
word 'help' in the message body, and an email message will be sent to
you with instructions.

If you have questions, problems, comments, etc, send them to
listmaster@tuatha.org.  Thanks!

Passwords for jm-webdev@jmason.org:

List                                     Password // URL
----                                     --------  
webdev@linux.ie                          foo       
http://www.linux.ie/mailman/options/webdev/jm-webdev@jmason.org


"
1	"Re: Apple Sauced...againAt 1:16 AM -0400 on 10/3/02, Gary Lawrence Murphy wrote:


>   ""The first question I ask myself when something doesn't seem to be
>   beautiful is why do I think it's not beautiful. And very shortly you
>   discover that there is no reason."" -- John Cage

""When I'm working on a problem, I never think about beauty. I think only
how to solve the problem. But when I have finished, if the solution is not
beautiful, I know it is wrong.""  -- R. Buckminster Fuller

""Simplicity is the highest goal, achievable when you have overcome all
difficulties."" -- Frederic Chopin

""Externalities are the last refuge of the dirigistes."" -- Friedrich Hayek

-- 
-----------------
R. A. Hettinga 
The Internet Bearer Underwriting Corporation 
44 Farquhar Street, Boston, MA 02131 USA
""The stoical scheme of supplying our wants by lopping off our
desires is like cutting off our feet when we want shoes.""
 -- Jonathan Swift


"
1	"Re: results for giant mass-check (phew)I never claimed it could learn *all* combinatorial 
possibilities, but it certainly can learn some.

C

On Thursday, August 22, 2002, at 07:21  PM, Scott A Crosby wrote:

> On Thu, 22 Aug 2002 09:20:05 -0700, Craig R.Hughes 
>  writes:
>
>> It *can* learn combinatorial stuff in a more subtle way.  Imagine
>
> No it can't..
>
> It can learn a few examples that happen to be linearily seperable,
> like those you gave. It cannot learn the example I gave below, which
> is not linearily seperable.


"
1	"Re: RPM's %post, %postun etcHave you tried rebuilding your package on a system that has a stock (or
no) .rpmmacros file? Does it still build (and install/uninstall) the way
you intended it to?

On Tue, 2002-08-20 at 09:38, Torsten Bronger wrote:
> Halloechen!
> 
> At the moment I create an RPM that also adds some files to
> teTeX's texmf/ tree.
> 
> Therefore I defined in my .rpmmacros a %texhash that
> calls texhash if it exists and in the spec file
> 
> %post
> %{texhash}
> 
> %postun
> %{texhash}
> 
> But this is a costly operation.  Is it nevertheless worth it?
> In particular, if this RPM is installed together with (very many)
> others, are those %pre, %post etc. skipped and an 'omnipotent' 
> script called that e.g. updates TeX's file database?
> 
> Tschoe,
> Torsten.

-- 
Chris Kloiber

_______________________________________________
RPM-List mailing list 
http://lists.freshrpms.net/mailman/listinfo/rpm-list

"
1	"Re: Fwd: Re: Kde 3.5 ...On 9 May 2010 17:00, Lisi  wrote:
> I do *not* ask otherwise and Dotan has been sending long, rude, unpleasan=
t
> emails direct to me.

What ""long, rude, unpleasant emails"" have I sent to you? Go ahead,
post everything that I've ever sent to you here. I've sent mails only
as long as the demands of your comments have warranted, filled only
with questions about what is broken for you in KDE 4 and links to bugs
on those very subjects. Rude or unpleasant? I think that you have me
mistaken. I'll give to you the benefit of the doubt, publish something
that you think I wrote to you which is rude or unpleasant.


>=C2=A0That is what I am complaining about. =C2=A0As I said above,
> *I* have been getting them from Dotan, as you correctly state: =C2=A0""*Li=
si*
> shreef ..... *I* have been getting them."" =C2=A0According to list policy =
I should
> not be getting them. =C2=A0In addition, the last one was sent to the KDE =
list (to
> which I do not subscribe) and not to this, which is the list with the thr=
ead.
>
> Perhaps you should read Dotan's last two emails to me (especially the las=
t
> one) before complaining about my complaint.
>

Which messages exactly? ""last two"" is hard to identify given the
dynamic nature of this list.


> And my crime?? =C2=A0For which you too clearly feel that I should be subj=
ected to
> the unpleasant bullying in emails direct to me? =C2=A0I use KDE 3, but do=
 not
> intend to use KDE 4.
>

All I did was ask about what issues you have with KDE 4 so that I
might fix them. You don't have to appreciate that, but I do not expect
you to turn it around and call that ""rude and unpleasant"". Maybe you
don't like KDE contributors taking an interest in your problems with
the software. Many other people do.


--=20
Dotan Cohen

http://bido.com
http://what-is-what.com


-- 
To UNSUBSCRIBE, email to debian-user-REQUEST@lists.debian.org 
with a subject of ""unsubscribe"". Trouble? Contact listmaster@lists.debian.org
Archive: http://lists.debian.org/AANLkTinLpz0dvlENuaBxlQgdBfihk334dDbyiwkD4hcx@mail.csmining.org


"
